index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
105,8936,,104447,107266,28261,36452,43142,45484,61674,73561,65069,36938,14518,1111,7,5,1,2,0,8
106,1648,2997,10909,10188,1161,2628,2120,2070,3753,7537,9272,7124,5323,502,0,2,3,1,1,7
107,,8332,925926,914332,272894,357839,484871,529318,616676,610954,428235,185775,70588,3725,16,33,11,10,6,60
108,482,,4619,4508,533,1219,915,923,1900,3412,4405,3151,2319,183,2,1,0,1,2,4
109,3546,6712,12969,12467,2316,2805,2785,2964,5373,7604,8896,7321,4881,342,3,2,3,1,1,7
110,690,22208,612857,588581,177131,236904,279265,332748,416845,401554,296282,153439,59275,2859,7,16,9,10,5,40
111,1140,3,90092,88313,19295,31568,46231,34623,51806,59070,56775,31114,15176,1132,12,3,15,4,3,25
112,23768.26,5651,836715,826227,220661,279467,400231,453800,528089,561442,478173,212746,82018,4943,29,30,19,14,14,77
113,4357,,1283621,1248111,316977,425211,629073,689108,796816,896379,762925,323186,123512,8134,13,40,15,11,7,73
114,8780.69,2062,688571,682180,178235,236607,335087,363782,434993,456293,389405,178728,69672,4242,4,26,20,12,11,69
115,1184.5,,1051330,1028915,272990,361366,507732,564831,662203,713853,606767,265633,102410,6330,4,35,19,16,14,84
116,514,13467,1110573,1068678,288294,380209,545885,623977,706245,784522,645042,262873,97305,6112,2,34,11,11,9,65
117,651,50,710284,705148,195423,245821,342613,392682,460897,480922,408977,183441,70643,4131,14,22,19,14,13,68
118,5079.484,1706,1051330,1028915,272990,361366,507732,564831,662203,713853,606767,265633,102410,6330,4,35,19,16,14,84
119,5506,,989882,968005,248781,330626,488730,538249,616818,685546,571938,246251,96090,6048,9,30,19,13,13,75
120,14435.21,14097,1143019,1112978,283369,380159,565992,623938,714154,797444,671358,285531,109942,7105,16,40,20,18,14,92
121,43313,107452,1257119,1226897,313967,424690,612655,668491,780758,864326,730338,314512,121234,7874,31,43,16,16,14,89
