size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
809,"21,792",11810.0,12257.0,2048.0,3014.0,6345.0,6223.0,5764.0,7201.0,7775.0,3572.0,1624.0,75.0,18.0,1.0,0.0,0.0,1.0,2.0
486,"40,000",23788.0,21923.0,12985.0,14316.0,10210.0,16480.0,23039.0,18612.0,10958.0,5170.0,2145.0,37.0,10.0,1.0,0.0,1.0,1.0,3.0
249,"1,000",20748.0,20319.0,6980.0,8359.0,10531.0,12309.0,14152.0,14427.0,10069.0,4511.0,2223.0,49.0,28.0,0.0,0.0,1.0,1.0,2.0
"1,686","4,200",6731.0,6718.0,1231.0,2299.0,3390.0,2638.0,3474.0,5416.0,5616.0,2523.0,1368.0,65.0,12.0,1.0,1.0,0.0,1.0,3.0
"1,080","24,554",30533.0,30536.0,7537.0,7660.0,12289.0,17150.0,17536.0,19732.0,19161.0,9358.0,3175.0,212.0,31.0,0.0,1.0,1.0,2.0,4.0
548,"4,032",14706.0,14971.0,5799.0,9888.0,6189.0,7549.0,13405.0,9347.0,5292.0,1912.0,597.0,16.0,23.0,2.0,1.0,0.0,2.0,5.0
2329.7,"29,575",10649.0,10948.0,2481.0,3273.0,6504.0,6826.0,6860.0,7907.0,6250.0,3090.0,859.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0
,"14,578",17798.0,16685.0,3458.0,5454.0,7922.0,7740.0,10102.0,12110.0,7934.0,3147.0,1657.0,79.0,11.0,2.0,1.0,1.0,1.0,5.0
,"9,650",18597.0,17379.0,3398.0,6170.0,9880.0,9141.0,10974.0,14983.0,11281.0,5255.0,2932.0,83.0,9.0,0.0,0.0,1.0,1.0,2.0
,"2,128",11859.0,11294.0,2055.0,3048.0,5217.0,4996.0,6265.0,7595.0,4435.0,1741.0,1095.0,108.0,4.0,0.0,0.0,0.0,1.0,1.0
483.4,"32,855",1307.0,1437.0,96.0,216.0,462.0,367.0,671.0,1124.0,966.0,546.0,362.0,84.0,9.0,1.0,0.0,0.0,1.0,2.0
,"27,378",18569.0,17299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,2.0
1051.8,"3,761",8225.0,8171.0,4333.0,3481.0,3196.0,6862.0,6853.0,4087.0,2796.0,882.0,167.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0
230,"1,200",18433.0,17161.0,4499.0,6122.0,7478.0,7485.0,9851.0,11469.0,10246.0,5757.0,3282.0,205.0,22.0,0.0,0.0,0.0,1.0,1.0
341.8,"10,021",16018.0,15219.0,5078.0,7674.0,6496.0,6606.0,12007.0,10460.0,6257.0,4452.0,1919.0,105.0,14.0,0.0,0.0,0.0,1.0,1.0
174.8,,26118.0,26010.0,8092.0,8553.0,11353.0,16016.0,17641.0,18693.0,18173.0,8854.0,2658.0,195.0,20.0,1.0,0.0,1.0,2.0,4.0
3747.7,"6,562",15435.0,15394.0,10656.0,5585.0,5417.0,15889.0,12179.0,5877.0,3717.0,796.0,81.0,20.0,13.0,1.0,0.0,0.0,2.0,3.0
777.1,"27,055",22377.0,20906.0,6276.0,10725.0,11840.0,13543.0,17258.0,16780.0,9974.0,4569.0,2067.0,91.0,26.0,1.0,0.0,1.0,2.0,4.0
805,"14,678",37542.0,35286.0,9119.0,10572.0,18934.0,22613.0,21665.0,27549.0,26801.0,12270.0,4151.0,257.0,18.0,1.0,0.0,0.0,1.0,2.0
3187.27,"9,365",15466.0,16674.0,6545.0,5125.0,12675.0,16865.0,12743.0,13848.0,11554.0,5506.0,2023.0,60.0,3.0,1.0,1.0,1.0,2.0,5.0
2290.8,"40,632",152.0,166.0,202.0,282.0,181.0,234.0,348.0,352.0,268.0,105.0,29.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0
572,"20,096",24801.0,24522.0,4838.0,8013.0,12945.0,11979.0,14787.0,19342.0,16132.0,6134.0,2334.0,69.0,13.0,2.0,0.0,1.0,1.0,4.0
,"2,838",482.0,515.0,92.0,114.0,124.0,164.0,278.0,495.0,728.0,288.0,189.0,14.0,8.0,0.0,0.0,0.0,1.0,1.0
885,"201,535",18638.0,17977.0,7040.0,8430.0,8147.0,10894.0,13532.0,12627.0,8198.0,3948.0,2055.0,200.0,12.0,1.0,0.0,0.0,1.0,2.0
1194.3,"1,092",278.0,319.0,36.0,65.0,105.0,102.0,161.0,179.0,320.0,169.0,61.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
924.4,"4,396",17736.0,17813.0,10438.0,6220.0,4889.0,14378.0,12689.0,6457.0,3815.0,684.0,31.0,0.0,25.0,1.0,0.0,0.0,2.0,3.0
1471,"2,872",221.0,476.0,10.0,35.0,35.0,56.0,97.0,96.0,264.0,141.0,137.0,32.0,5.0,0.0,0.0,0.0,1.0,1.0
1396.8,"3,210",4277.0,4575.0,1555.0,2776.0,1561.0,1513.0,3789.0,2569.0,1345.0,563.0,285.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0
936,"4,939",5183.0,5145.0,2228.0,2485.0,1930.0,2650.0,4140.0,2876.0,1986.0,1146.0,303.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0
"1,411","5,000",2026.0,2458.0,1274.0,866.0,583.0,1615.0,1756.0,2022.0,1544.0,733.0,354.0,34.0,12.0,1.0,0.0,1.0,1.0,3.0
"2,579","7,000",2121.0,2087.0,162.0,362.0,337.0,411.0,678.0,1013.0,1281.0,869.0,600.0,39.0,5.0,0.0,1.0,2.0,1.0,4.0
"1,347","8,700",4628.0,4582.0,263.0,675.0,849.0,822.0,1671.0,3208.0,4765.0,2816.0,1618.0,158.0,2.0,0.0,1.0,1.0,2.0,4.0
"1,460","45,000",23878.0,22362.0,4745.0,6805.0,10206.0,10028.0,12047.0,18336.0,13286.0,4919.0,1881.0,104.0,24.0,1.0,4.0,1.0,1.0,7.0
163,"5,800",2504.0,2536.0,100.0,371.0,300.0,314.0,599.0,1291.0,2059.0,1461.0,1326.0,137.0,2.0,0.0,0.0,1.0,1.0,2.0
"1,475","22,000",16768.0,15437.0,2398.0,3854.0,6014.0,5911.0,7961.0,9399.0,11109.0,6056.0,2237.0,46.0,16.0,,,,,
"1,509","32,000",7836.0,7546.0,1003.0,1998.0,2175.0,2302.0,3434.0,5852.0,7340.0,4432.0,2152.0,112.0,14.0,0.0,0.0,0.0,1.0,1.0
"6,072","15,000",10537.0,10130.0,979.0,1786.0,2027.0,2200.0,4136.0,6680.0,8737.0,6324.0,3676.0,332.0,17.0,0.0,0.0,0.0,1.0,1.0
362,"15,000",1856.0,1699.0,51.0,189.0,220.0,275.0,475.0,1000.0,1440.0,1136.0,893.0,156.0,5.0,1.0,1.0,1.0,1.0,4.0
"1,368","7,000",7425.0,8120.0,1210.0,1789.0,2646.0,2694.0,3675.0,6581.0,6896.0,3255.0,1692.0,208.0,13.0,0.0,1.0,0.0,1.0,2.0
998,"40,000",1537.0,1449.0,678.0,441.0,629.0,1001.0,1208.0,1145.0,761.0,241.0,40.0,0.0,7.0,0.0,1.0,0.0,1.0,2.0
"1,404","30,000",12919.0,12092.0,3642.0,5231.0,7602.0,6230.0,8057.0,9446.0,6729.0,3596.0,1409.0,26.0,13.0,0.0,1.0,0.0,1.0,2.0
504,"25,000",9102.0,9129.0,2152.0,4750.0,3483.0,4208.0,7918.0,6635.0,4808.0,2440.0,533.0,10.0,25.0,1.0,1.0,0.0,1.0,3.0
993,"35,280",4811.0,4633.0,388.0,549.0,935.0,1072.0,1501.0,3111.0,4690.0,3118.0,2376.0,208.0,9.0,1.0,1.0,0.0,1.0,3.0
"1,016","30,000",13964.0,14245.0,2854.0,5181.0,8410.0,7569.0,9394.0,13680.0,10946.0,3755.0,837.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0
,"5,565",8288.0,7918.0,1293.0,2151.0,1439.0,2189.0,4056.0,5138.0,6079.0,3808.0,1681.0,98.0,8.0,0.0,1.0,0.0,1.0,2.0
144,"3,800",1668.0,1590.0,66.0,167.0,180.0,228.0,491.0,1179.0,1331.0,1105.0,746.0,72.0,3.0,0.0,0.0,1.0,1.0,2.0
"1,565","21,000",3433.0,3318.0,282.0,344.0,475.0,633.0,985.0,1944.0,2961.0,1653.0,1362.0,181.0,2.0,1.0,0.0,2.0,1.0,4.0
"1,065","5,000",4953.0,4733.0,272.0,687.0,664.0,829.0,1624.0,4034.0,5361.0,3654.0,2906.0,255.0,7.0,1.0,1.0,1.0,1.0,4.0
996,"5,000",2581.0,2433.0,190.0,704.0,1263.0,539.0,906.0,1656.0,2538.0,1775.0,1449.0,254.0,1.0,1.0,0.0,1.0,1.0,3.0
985,"15,849",16914.0,15002.0,3272.0,4958.0,7163.0,6851.0,9288.0,11468.0,11139.0,5615.0,2728.0,128.0,9.0,1.0,0.0,0.0,2.0,3.0
"1,084","70,000",8997.0,8374.0,1219.0,2281.0,3469.0,2859.0,4013.0,6610.0,7054.0,4113.0,2339.0,209.0,8.0,1.0,0.0,1.0,1.0,3.0
733,"20,000",1278.0,1255.0,108.0,690.0,173.0,240.0,360.0,1053.0,1315.0,1036.0,608.0,38.0,5.0,1.0,1.0,1.0,1.0,4.0
"1,594","35,000",4109.0,3780.0,1056.0,1875.0,1404.0,1600.0,2652.0,2697.0,2718.0,1764.0,849.0,56.0,6.0,1.0,0.0,0.0,2.0,3.0
132,"9,000",1586.0,1703.0,182.0,382.0,449.0,466.0,808.0,1156.0,1440.0,918.0,577.0,42.0,11.0,1.0,1.0,1.0,2.0,5.0
347,"4,799",6181.0,5818.0,1163.0,3265.0,2298.0,2112.0,3433.0,4904.0,4996.0,2732.0,1475.0,194.0,8.0,0.0,1.0,1.0,3.0,5.0
"4,514",555,8336.0,7970.0,967.0,1301.0,1740.0,1824.0,2887.0,5669.0,8609.0,5636.0,4157.0,257.0,11.0,1.0,0.0,1.0,1.0,3.0
879,"33,107",2222.0,2079.0,174.0,147.0,285.0,271.0,622.0,1287.0,2154.0,1767.0,1395.0,236.0,4.0,1.0,0.0,0.0,2.0,3.0
186,"15,000",8407.0,7963.0,1336.0,1918.0,1593.0,2292.0,3480.0,5207.0,6695.0,4527.0,3103.0,304.0,7.0,1.0,0.0,1.0,1.0,3.0
845,"7,346",4048.0,3932.0,699.0,1201.0,1231.0,1252.0,2289.0,3420.0,3796.0,2218.0,1148.0,91.0,15.0,2.0,0.0,0.0,1.0,3.0
421,"6,000",4162.0,3731.0,170.0,420.0,684.0,651.0,1058.0,2160.0,3483.0,2275.0,2133.0,328.0,13.0,1.0,1.0,0.0,1.0,3.0
509,"13,752",1110.0,1028.0,166.0,231.0,238.0,303.0,483.0,734.0,1027.0,548.0,401.0,58.0,4.0,1.0,0.0,0.0,1.0,2.0
740,"5,000",1743.0,1722.0,144.0,232.0,200.0,229.0,557.0,1254.0,1808.0,1348.0,864.0,90.0,8.0,1.0,0.0,0.0,1.0,2.0
458,"48,825",10494.0,10402.0,1718.0,3083.0,3850.0,2999.0,5306.0,6376.0,6646.0,4043.0,2104.0,95.0,0.0,2.0,0.0,1.0,1.0,4.0
"1,117","5,000",7687.0,7380.0,2468.0,3143.0,3595.0,3978.0,5661.0,6741.0,5608.0,2604.0,1416.0,144.0,12.0,1.0,0.0,1.0,2.0,4.0
127,"3,227",2827.0,2812.0,199.0,533.0,1273.0,870.0,1517.0,2276.0,2489.0,1354.0,943.0,89.0,7.0,1.0,0.0,1.0,1.0,3.0
586,"2,500",1052.0,1204.0,148.0,218.0,272.0,403.0,473.0,624.0,880.0,505.0,247.0,18.0,7.0,0.0,1.0,0.0,1.0,2.0
959,"50,610",2077.0,2092.0,290.0,355.0,310.0,536.0,675.0,1470.0,2588.0,1418.0,850.0,92.0,5.0,0.0,0.0,0.0,1.0,1.0
66,"14,260",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
328,"3,000",2889.0,2569.0,226.0,522.0,264.0,410.0,786.0,1534.0,2528.0,2140.0,1745.0,160.0,3.0,2.0,0.0,0.0,1.0,3.0
354,"3,000",975.0,911.0,122.0,126.0,169.0,200.0,304.0,682.0,963.0,793.0,738.0,37.0,4.0,1.0,0.0,1.0,1.0,3.0
941,"25,358",7073.0,6858.0,1437.0,1958.0,1842.0,2416.0,4054.0,5282.0,6619.0,3665.0,2294.0,186.0,10.0,1.0,0.0,0.0,1.0,2.0
