index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
78,1139,952,450596,427231,107868,157401,240920,206405,260955,291927,254562,143287,60865,4108,7,16,25,9,11,61
79,2608,7194,536261,511173,136964,195975,286175,251634,320444,348300,285044,154176,64212,4181,20,20,26,14,12,72
80,1562,8016,334695,316971,78490,111757,176803,149847,187083,208637,193612,115855,52412,3700,0,13,22,8,11,54
81,131,1816,566091,540563,146946,209756,299617,265045,341292,366569,293555,157500,66193,4583,20,21,26,14,13,74
82,405,10400,433423,410418,105441,150661,233482,201681,251826,277840,239320,134084,55841,3627,4,17,25,14,12,68
83,1469,7000,489354,464627,118811,173976,260566,225604,286269,318552,269135,147638,61240,3901,3,19,25,13,11,68
84,8427,86221,654265,645405,171138,252471,387007,331748,397772,421674,350847,162990,67799,4715,4,18,18,11,7,54
85,2700,60071,654265,645405,171138,252471,387007,331748,397772,421674,350847,162990,67799,4715,4,18,18,11,7,54
86,381,,661701,649430,173328,254534,386801,330933,400340,423448,354394,165699,68738,4739,5,17,18,13,7,55
87,531,217,604944,594121,162531,233516,352501,309521,370369,388293,315286,142688,58507,4054,8,17,16,10,5,48
88,1744,,397241,399242,100802,153214,252223,212520,242058,261794,207365,88887,36001,2514,8,10,14,5,6,35
89,12830,194235,368573,377960,111223,144573,167762,189173,245199,286844,211509,80547,24032,1292,9,12,4,4,5,25
90,8277,100898,442561,463713,124264,170041,254738,247801,299422,343560,220238,74947,31476,2339,5,19,7,4,2,32
91,6926,6537,90867,97275,27095,35895,48394,52405,58590,60922,48989,21353,9634,518,0,4,3,1,1,9
92,2858,16189,37232,37193,8394,13112,15396,14522,21465,25985,25576,12755,6444,517,6,2,10,2,1,15
93,1961,21523,675742,634015,202730,258036,293615,351586,451788,472040,324233,140824,71158,3921,12,24,7,7,7,45
94,3072,32289,466290,471961,127339,175913,261818,259317,303792,352169,239702,86119,37449,2605,6,20,7,3,2,32
95,5605,141923,928654,913444,310800,397998,480517,546240,672905,577387,365294,174096,66186,3898,20,32,16,11,3,62
96,4538,36436,637500,612265,182689,228080,297701,365901,423100,414167,327305,154679,56603,3075,8,25,8,10,4,47
97,9662,75744,937825,935934,286840,376551,508875,550615,646663,618201,418492,184889,69096,3436,10,36,13,8,6,63
98,1852,67644,138036,133963,28204,41327,67447,67989,80032,99072,87891,46442,22894,2058,11,1,6,0,0,7
99,4185,35767,31205,30820,7246,11694,10308,11494,17417,21281,23294,12291,5726,354,7,2,3,0,2,7
100,561,22904,43628,44175,10253,15768,20955,18116,25263,29853,26726,13063,6577,559,0,5,8,2,1,16
101,3173,16225,418979,435015,182925,197929,198430,287590,341587,240499,145047,53399,17338,905,13,20,3,3,4,30
102,2008,16179,89795,96211,27038,35799,48274,52322,58439,60691,49000,21338,9628,518,0,4,3,1,1,9
103,895,67644,142336,137940,28511,42202,69444,68993,81623,100771,89267,47103,23036,2031,11,1,6,0,0,7
104,3219,120,4593,4892,664,985,1211,1348,1757,3091,4623,2756,1773,232,1,1,4,0,0,5
105,712,3836,229976,228764,90738,98136,90887,135886,177242,136708,95091,40363,13528,961,8,4,5,1,0,10
106,2300,522,60581,59796,16396,24072,23341,25438,42060,43021,34725,18033,7693,543,1,2,7,1,0,10
107,1683,19784,59372,58345,16448,23876,22366,24405,41005,41592,34417,18209,7327,453,10,3,9,1,0,13
108,807,6470,745003,722717,240529,317797,370378,406357,525157,461188,291557,147392,58071,3666,5,20,15,7,3,45
109,1498,950,6304,6362,794,1319,2003,1987,2474,4595,6163,3247,1895,115,2,0,1,0,0,1
110,650,2567,158911,162587,53256,58578,67817,86566,111161,108403,87654,37878,12417,586,0,7,4,1,1,13
111,752,2150,445487,426013,134655,185596,202881,228489,314024,283518,195866,103754,43728,2886,4,12,10,2,0,24
112,901,31900,6711,7367,937,1329,2569,2744,3338,5489,5668,2429,1447,152,6,1,4,0,0,5
113,950,2348,111373,107633,33548,48127,43037,47905,80704,76234,55489,29751,12115,1094,3,3,7,1,0,11
114,1389,6771,409388,389134,138915,171972,171381,218575,289595,274363,181175,78859,38899,2209,11,11,15,2,2,30
115,372,2102,637788,592362,135408,205010,298247,306822,374934,434717,371195,195827,86347,4544,12,22,5,9,5,41
116,1081,12262,779175,737560,207399,275196,367993,424839,502659,549846,420634,178690,77586,4351,7,19,10,7,6,42
117,661,1815,134060,135081,50055,57107,58430,81188,95284,86335,57930,27578,13192,972,6,3,16,0,0,19
118,396,8100,71187,69851,19693,28316,27894,30108,49229,49777,38437,20470,8738,763,6,2,7,1,0,10
119,1539,,1179412,1110153,255250,380096,685325,696056,720517,724886,594690,318489,105722,3486,19,37,29,16,5,87
120,500,960,7108,7269,1168,3319,2434,2292,3413,4661,5887,3365,1935,123,0,1,1,0,0,2
121,657,12287,625306,645998,216468,262503,349530,412125,466076,398259,261539,101735,33953,1512,16,25,7,8,5,45
122,962,9832,1252550,1203512,308039,410201,590496,666738,770327,853459,731077,316915,118031,7155,11,34,13,11,8,66
123,1132,2014,55758,56539,10352,16946,20976,21426,29279,39581,38208,20724,12295,1769,4,3,6,0,1,10
124,1498,3488,135427,136527,50278,57449,59171,81864,95979,86938,58357,27813,13326,984,4,5,16,0,0,21
125,609,1529,89376,89099,17786,27131,41680,41930,50495,66101,60504,31485,16566,1843,12,3,5,1,1,10
126,859,,83554,85622,25259,31593,44143,45499,55953,55337,43523,20407,8370,735,9,4,5,2,1,12
127,398,2926,534374,548552,177684,217538,291243,339347,384869,343176,230572,89999,30450,1432,1,20,7,5,5,37
128,2251,,45544,54940,16547,20286,22053,28045,37506,32806,22774,10052,4998,382,3,2,1,1,1,5
129,561,22904,43628,44175,10253,15768,20955,18116,25263,29853,26726,13063,6577,559,0,5,8,2,1,16
130,6372,8464,151259,153866,51089,55669,63855,82785,106670,103785,85599,37058,11754,462,8,7,3,1,1,12
131,1802,31900,6711,7367,937,1329,2569,2744,3338,5489,5668,2429,1447,152,6,1,4,0,0,5
132,987,15000,29298,28797,6786,9652,10006,10863,16297,20796,22672,11684,5249,273,2,2,4,0,2,8
133,168,,6987,7753,1596,1548,2328,2532,3217,4875,6765,3623,2063,114,4,1,1,0,0,2
134,926,,58402,62372,18659,23703,28717,34429,39585,41502,30167,14818,7944,820,4,2,14,0,0,16
135,595,32500,5488,5890,806,1044,1985,2179,2519,4071,4088,1683,854,70,2,1,4,0,0,5
136,544,500,13903,14451,3058,4448,5937,5713,7970,10781,12168,6303,3409,216,0,0,2,0,0,2
137,485,1260,100963,99103,22727,31396,38607,42472,58296,70402,61286,30018,15685,1652,7,3,6,0,1,10
138,1483,971,1422680,1290969,315653,413792,763685,852249,843284,852597,721223,378542,150976,5330,0,49,51,15,11,126
139,1480,24000,344092,332766,115441,126641,141671,194089,237350,208435,185803,86109,25281,1751,7,10,7,2,2,21
140,743,1164,700291,667948,223033,304160,337564,378968,504498,449922,290947,152763,63117,4000,3,21,13,9,3,46
141,1187,9172,135836,136923,50509,57781,59397,82247,96465,87454,58576,27875,13334,984,4,6,16,0,1,23
142,307,2500,946884,946556,296134,386638,519060,563585,660476,620987,416587,182557,67415,3429,14,37,16,10,4,67
143,2736,91230,619252,596009,172886,227591,287704,345083,411676,403314,309174,154819,58918,3086,39,22,9,11,5,47
144,668,192996,1045565,987796,267877,344362,508894,564332,654168,661423,573612,287775,101255,4384,9,26,9,7,7,49
145,1927,2759,16946,17345,2518,6010,6416,5135,8170,11268,12178,6317,4024,329,2,1,2,1,1,5
146,479,7500,591918,571859,161719,213475,286136,326656,367605,417151,334318,133946,54836,3487,9,25,10,8,6,49
