index,size,user,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
1142,2751,85441,9281,9105,520,1694,1534,1642,2960,5825,8666,5657,3667,316,10,1,2,1,2,6
1143,6679,733414,55566,55018,12525,16960,26021,26491,32105,45923,36688,15450,6677,505,14,1,7,2,4,14
1144,1324,82837,22291,23352,5829,7594,5814,8374,14472,11985,11126,5905,2835,372,13,2,2,1,1,6
1145,3449,170659,5454,5555,1564,1475,1680,2732,3236,3387,3015,1415,625,88,4,1,0,0,0,1
1146,1374,69271,5470,5337,295,735,684,752,1502,3119,5068,3516,2642,341,8,2,1,1,2,6
1147,1111,35025,1001,920,631,581,318,1117,936,472,128,90,15,0,5,1,0,0,0,1
1148,1019,46516,2174,2118,1877,1572,302,1674,2673,946,297,29,0,0,4,1,0,0,0,1
1149,1819,117021,9631,10262,1932,4057,3043,3605,6495,7327,6853,3219,1366,166,31,1,1,0,0,2
1150,1534,82364,9021,8595,1167,1959,2035,2380,4398,6002,7402,5163,2536,190,6,1,0,1,0,2
1151,1300,47212,2308,2122,57,212,299,340,565,1302,2279,1502,1213,205,6,1,1,1,1,4
1152,1197,71244,1504,1458,267,789,461,532,780,1407,1396,883,579,68,6,1,0,0,0,1
1153,3094,683732,51883,49548,20355,23742,19916,26268,39239,33201,23389,9806,3843,359,5,1,0,1,0,2
1154,1678,46898,3515,3480,1849,1252,1266,2519,3238,2373,1568,397,57,0,9,1,1,1,1,4
1155,1233,92064,9529,9463,2435,2168,1751,3009,4074,4899,5345,3245,1816,220,17,1,0,0,1,2
1156,1246,60410,4793,4727,1010,1020,1070,1637,2220,3140,4001,2101,1264,101,3,1,0,0,0,1
1157,2327,75352,6475,6322,949,1116,1267,1733,2378,4061,6409,4197,3142,283,6,1,1,1,1,4
1158,4662,375976,48540,47171,7782,13664,18001,18028,25837,33128,34977,19100,7153,423,10,2,3,1,1,7
1159,1423,128519,5086,5374,1791,2504,2657,3138,3935,4555,3035,676,129,0,6,1,0,0,0,1
1160,8375,673900,37922,40588,6446,12098,20266,18294,21424,27240,21635,7624,2394,244,1,2,0,0,0,2
1161,2642,718592,29657,29753,8917,10572,12468,14056,19150,21869,19054,7642,1970,21,25,1,0,0,0,1
1162,1610,92359,14397,14447,3057,6651,5277,5277,10031,11098,11550,5603,1813,65,14,1,3,0,0,4
1163,1754,77783,3220,3098,86,499,399,418,1028,2206,2765,2389,1800,235,5,1,0,1,1,3
1164,964,57736,6572,6781,1123,1515,1360,1792,3012,4769,6265,3764,2738,314,2,1,1,2,1,5
1165,1318,50362,7020,6710,684,1286,1226,1339,2662,5556,7361,4717,3733,366,10,1,1,1,1,4
1166,2096,64364,4426,4210,324,1101,1833,803,1468,2976,4208,2931,2525,385,2,1,0,1,1,3
1167,309,2400,21919,21834,5041,7501,9128,9214,12776,13994,13536,7162,2742,172,2,1,0,0,0,1
1168,1153,155698,19672,20347,9102,9969,6283,12442,18131,13788,6876,1915,400,16,12,1,0,0,0,1
1169,1261,152948,11928,13599,1824,2821,3091,4438,7168,7583,7192,3356,1363,135,6,1,0,0,0,1
