index,시설명,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
87,성암미술관,대전광역시 유성구 온천동로 19-1,531,217,36.3536926,127.3488988,604944,594121,162531,233516,352501,309521,370369,388293,315286,142688,58507,4054,8,17,16,10,5,48
88,여진불교미술관,대전광역시 유성구 엑스포로 624,1744,,36.4104002,127.4063234,397241,399242,100802,153214,252223,212520,242058,261794,207365,88887,36001,2514,8,10,14,5,6,35
89,울산시립미술관,울산광역시 중구 미술관길 72,12830,194235,35.5725357,129.3138772,368573,377960,111223,144573,167762,189173,245199,286844,211509,80547,24032,1292,9,12,4,4,5,25
90,경기도미술관,경기도 안산시 단원구 동산로 268,8277,100898,37.3255574,126.8143844,442561,463713,124264,170041,254738,247801,299422,343560,220238,74947,31476,2339,5,19,7,4,2,32
91,경기도자미술관,경기도 이천시 경충대로2697번길 231,6926,6537,37.2759656,127.4225949,90867,97275,27095,35895,48394,52405,58590,60922,48989,21353,9634,518,0,4,3,1,1,9
92,경기생활도자미술관,경기도 여주시 신륵사길7,2858,16189,37.3000521,127.656749,37232,37193,8394,13112,15396,14522,21465,25985,25576,12755,6444,517,6,2,10,2,1,15
93,고양시립 아람미술관,경기도 고양시 일산동구 중앙로 1286,1961,21523,37.6615218,126.7746471,675742,634015,202730,258036,293615,351586,451788,472040,324233,140824,71158,3921,12,24,7,7,7,45
94,김홍도미술관,경기도 안산시 상록구 충장로 422,3072,32289,37.3156939,126.8514183,466290,471961,127339,175913,261818,259317,303792,352169,239702,86119,37449,2605,6,20,7,3,2,32
95,백남준아트센터,경기도 용인시 기흥구 백남준로 10,5605,141923,37.2680727,127.1097379,928654,913444,310800,397998,480517,546240,672905,577387,365294,174096,66186,3898,20,32,16,11,3,62
96,성남큐브미술관,경기도 성남시 분당구 성남대로 808,4538,36436,37.4026231,127.1315343,637500,612265,182689,228080,297701,365901,423100,414167,327305,154679,56603,3075,8,25,8,10,4,47
97,수원시립미술관,경기도 수원시 팔달구 정조로833,9662,75744,37.2826989,127.0157578,937825,935934,286840,376551,508875,550615,646663,618201,418492,184889,69096,3436,10,36,13,8,6,63
98,양주시립장욱진미술관,경기도 양주시 장흥면 권율로 193,1852,67644,37.7319453,126.9491654,138036,133963,28204,41327,67447,67989,80032,99072,87891,46442,22894,2058,11,1,6,0,0,7
99,양평군립미술관,경기도 양평군 양평읍 문화복지길 2,4185,35767,37.4970603,127.4841327,31205,30820,7246,11694,10308,11494,17417,21281,23294,12291,5726,354,7,2,3,0,2,7
100,여주시 미술관 아트뮤지엄 려,경기도 여주시 상거동 463 아트뮤지엄 려,561,22904,37.2390645,127.6096348,43628,44175,10253,15768,20955,18116,25263,29853,26726,13063,6577,559,0,5,8,2,1,16
101,오산시립미술관,경기도 오산시 현충로 100,3173,16225,37.1602736,127.0769568,418979,435015,182925,197929,198430,287590,341587,240499,145047,53399,17338,905,13,20,3,3,4,30
102,이천시립월전미술관,경기도 이천시 경충대로 2709번길 185,2008,16179,37.2801789,127.4241168,89795,96211,27038,35799,48274,52322,58439,60691,49000,21338,9628,518,0,4,3,1,1,9
103,양주시립민복진미술관,경기도 양주시 장흥면 권율로 192,895,67644,37.7311206,126.949412,142336,137940,28511,42202,69444,68993,81623,100771,89267,47103,23036,2031,11,1,6,0,0,7
104,C ART MUSEUM,경기도 양평군 양동면 다락근이길 57-13,3219,120,37.3954905,127.7377537,4593,4892,664,985,1211,1348,1757,3091,4623,2756,1773,232,1,1,4,0,0,5
105,CICA미술관,경기도 김포시 양촌읍 삼도로 196-30,712,3836,37.6082629,126.5978943,229976,228764,90738,98136,90887,135886,177242,136708,95091,40363,13528,961,8,4,5,1,0,10
106,가일미술관,경기도 가평군 청평면 북한강로 1549,2300,522,37.6603545,127.3795588,60581,59796,16396,24072,23341,25438,42060,43021,34725,18033,7693,543,1,2,7,1,0,10
107,구하우스 미술관,경기도 양평군 서종면 무내미길49-12,1683,19784,37.6031631,127.3511874,59372,58345,16448,23876,22366,24405,41005,41592,34417,18209,7327,453,10,3,9,1,0,13
108,근현대사미술관담다,경기도 용인시 기흥구 강남동로140번길1-6,807,6470,37.2771845,127.1366705,745003,722717,240529,317797,370378,406357,525157,461188,291557,147392,58071,3666,5,20,15,7,3,45
109,남송미술관,경기도 가평군 북면 백둔로 322,1498,950,37.9045227,127.4720925,6304,6362,794,1319,2003,1987,2474,4595,6163,3247,1895,115,2,0,1,0,0,1
110,닻미술관,경기도 광주시 초월읍 진새골길 184,650,2567,37.3803511,127.2711412,158911,162587,53256,58578,67817,86566,111161,108403,87654,37878,12417,586,0,7,4,1,1,13
111,마가미술관,경기도 용인시 모현읍 문형동림로 101번길 37,752,2150,37.3317568,127.1927245,445487,426013,134655,185596,202881,228489,314024,283518,195866,103754,43728,2886,4,12,10,2,0,24
112,맥아트미술관,경기도 안산시 단원구 부흥로 254,901,31900,37.220616,126.6019688,6711,7367,937,1329,2569,2744,3338,5489,5668,2429,1447,152,6,1,4,0,0,5
113,모란미술관,경기도 남양주시 화도읍 경춘로 2110번길 8 ,950,2348,37.650612,127.3241523,111373,107633,33548,48127,43037,47905,80704,76234,55489,29751,12115,1094,3,3,7,1,0,11
114,미메시스아트뮤지엄,경기도 파주시 문발로 253,1389,6771,37.7168804,126.6888015,409388,389134,138915,171972,171381,218575,289595,274363,181175,78859,38899,2209,11,11,15,2,2,30
115,백영수미술관,경기도 의정부시 안말로 58번안길 55-1,372,2102,37.7136824,127.0444638,637788,592362,135408,205010,298247,306822,374934,434717,371195,195827,86347,4544,12,22,5,9,5,41
116,보름산미술관,경기도 김포시 고촌읍 수기로 100-78,1081,12262,37.596271,126.7609217,779175,737560,207399,275196,367993,424839,502659,549846,420634,178690,77586,4351,7,19,10,7,6,42
117,블루메미술관,경기도 파주시 탄현면 헤이리마을길 59-30 ,661,1815,37.7893176,126.6966034,134060,135081,50055,57107,58430,81188,95284,86335,57930,27578,13192,972,6,3,16,0,0,19
