index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
568,수원시한림도서관,2417,171250,37.2375363,127.0250359,48969,50402,17655,18949,29316,36963,38677,36188,24042,7216,2040,71,12,2,0,0,0,2
569,수원시대추골도서관,2692,180848,37.306606,127.00814,70946,68968,15173,26741,36236,34028,44845,53156,40526,19066,8370,637,7,3,0,2,0,5
570,수원시매여울도서관,3913,222330,37.2594515,127.047466,118447,120420,31599,42889,76758,76616,76581,70657,45324,15476,5306,117,10,4,1,2,0,7
571,수원시버드내도서관,4000,92034,37.2568368,127.0150141,81082,83052,19957,23100,51372,55998,51919,54882,43985,17875,5849,86,10,3,1,1,2,7
572,수원시북수원도서관,4480,348194,37.2987857,126.9894028,114114,113137,27515,47256,66938,53842,71526,80826,55240,23651,9845,609,19,4,0,1,0,5
573,수원시서수원도서관,4587,144520,37.2731141,126.9713348,51841,52135,15128,18866,26877,29544,33905,35567,25805,9979,3464,41,21,3,0,0,1,4
574,수원시호매실도서관,4930,288286,37.2665656,126.958093,53526,53049,20824,22148,24989,32755,39878,35276,24965,9270,3029,58,17,2,0,0,0,2
575,수원시광교홍재도서관,9824,288967,37.3030298,127.0473122,37086,34759,11681,17445,23268,25203,26343,21037,12899,5353,2285,207,30,2,4,0,0,6
576,수원시망포글빛도서관,2929,238120,37.2406869,127.0444658,88861,91046,31371,35871,48273,60741,63558,57891,33730,8816,2759,205,14,4,0,0,0,4
577,수원시태장마루도서관,3970,229214,37.2386473,127.0509523,88007,90605,30749,34978,49819,61317,62322,54255,29690,8033,2602,262,11,4,0,0,0,4
578,수원시화서다산도서관,3611,163239,37.2853602,126.9973337,105141,102019,24357,37979,58334,51826,61655,69842,51781,24052,9674,491,13,4,0,1,0,5
579,수원시광교푸른숲도서관,4577,245598,37.2811768,127.0666219,74452,70936,25521,34400,45128,48030,54680,43385,25475,9630,3315,227,7,1,1,0,0,2
580,한아름도서관 (수원청소년문화센터내),648,70539,37.2742104,127.0345833,102427,102347,22252,32009,71685,65214,62544,64443,49163,21961,8235,316,14,1,3,4,0,8
581,반달어린이도서관,427,11524,37.2506725,127.0771738,69441,71502,21645,29879,43005,44645,47537,42967,22327,6583,2214,134,16,3,1,0,0,4
582,바른샘어린이도서관,2666,196015,37.2688225,127.052304,90207,90203,23714,35229,59471,52493,60334,56212,37150,14202,4921,125,15,2,2,1,0,5
583,슬기샘어린이도서관,2565,175935,37.2975603,126.9990837,121820,118170,28149,49974,69059,58087,76829,88672,61923,27415,11574,729,17,5,0,3,0,8
