city,small,name,address,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
경상남도,남해군,남해 생활문화센터,경상남도 남해군 남해읍 망운로 1-22,284.6,"2,443",34.8374137,127.8934634,4456.0,4325.0,244.0,654.0,566.0,641.0,1272.0,2527.0,4201.0,2755.0,2171.0,260.0,8.0,2.0,1.0,0.0,1.0,4.0
경상남도,김해시,다어울림생활문화센터,경상남도 김해시 가락로94번길 7,598.58,"5,760",35.2351657,128.8820797,12518.0,12634.0,2609.0,2757.0,4400.0,5292.0,6756.0,10452.0,11207.0,5846.0,2816.0,220.0,21.0,1.0,4.0,0.0,2.0,7.0
경상남도,산청군,덕산문화의집 생활문화센터,경상남도 산청군 시천면 남명로234번길 31,225,"15,351",35.2760283,127.8448543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0
경상남도,밀양시,백산 생활문화센터,경상남도 밀양시 하남읍 백산로 292-10,469.63,"2,640",35.3705955,128.7457865,212.0,189.0,236.0,49.0,86.0,469.0,181.0,117.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
경상남도,창원시,성호생활문화센터,경상남도 마산합포구 문신길 205길 (추산동),652,"1,000",35.2073292,128.5717429,18463.0,17715.0,2858.0,4777.0,6519.0,6791.0,9662.0,11633.0,13090.0,7868.0,3287.0,168.0,6.0,0.0,3.0,0.0,1.0,4.0
경상남도,밀양시,신안 생활문화센터,경상남도 밀양시 상동면 안인2길 36-57,135.09,"4,700",35.5261417,128.7664843,202.0,197.0,14.0,44.0,78.0,64.0,82.0,182.0,190.0,70.0,70.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0
경상남도,하동군,악양 생활문화센터,경상남도 하동군 축지리 749,1072,"2,000",35.1460535,127.7048572,215.0,214.0,29.0,32.0,27.0,25.0,58.0,144.0,129.0,117.0,129.0,49.0,8.0,0.0,0.0,0.0,1.0,1.0
경상남도,거창군,하성단노을 생활문화센터,경상남도 거창군 웅양면 웅양로 2309,514,150,35.8726562,127.9202957,230.0,214.0,61.0,148.0,72.0,84.0,159.0,176.0,271.0,149.0,46.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
경상북도,경산시,경산생활문화센터,경상북도 경산시 장산로23길 23,858.8,"6,341",35.8183835,128.7354916,16523.0,14664.0,3262.0,4981.0,7030.0,6764.0,9242.0,11312.0,11055.0,5584.0,2624.0,128.0,4.0,1.0,0.0,0.0,2.0,3.0
경상북도,포항시,구룡포생활문화센터,경상북도 포항시 남구 구룡포읍 용주로7번길 30,557.6,"20,007",35.991798,129.5610708,879.0,792.0,51.0,60.0,39.0,107.0,235.0,348.0,412.0,387.0,241.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0
경상북도,군위군,군위생활문화센터,경상북도 군위군 군위읍 동서2길 35,704.56,"9,542",36.2331227,128.5679219,1586.0,1703.0,182.0,382.0,449.0,466.0,808.0,1156.0,1440.0,918.0,577.0,42.0,10.0,1.0,1.0,1.0,2.0,5.0
경상북도,김천시,김천시 노인건강문화센터,경상북도 김천시 중앙공원1길 16,1110,"100,000",36.1194997,128.1193941,6678.0,6284.0,1164.0,3302.0,2472.0,2250.0,3499.0,5332.0,5459.0,2949.0,1609.0,205.0,8.0,0.0,1.0,1.0,3.0,5.0
경상북도,청송군,남관생활문화센터,경상북도 청송군 부남면 부남로 14,1602.4,"6,000",36.2982291,129.1271673,636.0,671.0,23.0,27.0,19.0,48.0,47.0,152.0,126.0,112.0,170.0,51.0,0.0,0.0,0.0,0.0,1.0,1.0
경상북도,상주시,남장생활문화센터,경상북도 상주시 남장1길 25,452,500,36.4127759,128.1173456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
경상북도,경산시,동부동 생활문화복합센터,경상북도 경산시 원효로34길 12,869.68,"3,880",35.819336,128.7542298,12060.0,12131.0,1894.0,5210.0,7441.0,3857.0,5637.0,7121.0,7053.0,3902.0,1862.0,78.0,11.0,0.0,0.0,1.0,1.0,2.0
경상북도,봉화군,봉화 청소년센터,경상북도 봉화읍 내성로1길 17-20,1137,"17,000",36.8878299,128.7393195,2513.0,2299.0,187.0,159.0,400.0,338.0,685.0,1389.0,2310.0,1939.0,1516.0,236.0,8.0,1.0,0.0,0.0,2.0,3.0
경상북도,성주군,성주생활문화센터,경상북도 성주군 금수면 성주로 1903,634.3,"15,000",35.9185892,128.1775318,259.0,254.0,41.0,57.0,65.0,70.0,101.0,150.0,147.0,161.0,74.0,25.0,5.0,0.0,0.0,0.0,1.0,1.0
