index,시설명,size,user,latitude,longitude,Population_woman,Population_man,under10,10대,20대,30대,40대,50대,60대,70대,80대,90대,transit_count,도서시설,전시시설,공연시설,지역문화활동시설,total
72,창조문화활력센터 소극장 624,,29,35.2064729,129.0043791,706644,660988,148969,199429,342173,329967,385689,452625,467150,247866,93248,5068,27,13,16,4,10,43
73,창동문화체육센터,11050,,37.6581765,127.0507402,1190289,1100855,239215,360086,641321,596540,680442,770373,684291,374858,152211,5379,21,51,23,13,8,95
74,창녕문화예술회관,4760,5859,35.5445963,128.49044,13395,13146,2118,3258,3107,3575,5703,8873,11924,7519,5303,486,8,1,1,1,1,4
75,진해문화센터(진해구민회관),3490,150,35.1698332,128.6660838,209364,215335,51857,78206,97896,106599,135813,161849,127767,47504,15780,981,0,6,4,2,3,15
76,진천화랑관,4967,,36.8496566,127.4401326,20131,22469,4726,7030,8338,7868,11569,15047,15280,8599,5513,450,1,2,2,1,2,7
77,진주시 전통예술회관,1808,,35.1743398,128.0387096,136503,132583,36907,55433,74120,61218,83550,89513,77391,39413,16657,1089,6,6,5,2,1,14
78,진영문화센터(진영한빛도서관),6568,,35.3043728,128.7370017,58869,61390,23252,25978,24113,32257,46605,43830,33848,14090,6044,616,19,4,9,1,2,16
79,진안문화의집,1493,,35.7892156,127.4231187,5976,5974,726,1780,1319,1203,2364,4350,5152,3616,2538,249,6,1,2,1,3,7
80,진보문화체육센터,945,,36.5296537,129.0519697,4348,4449,526,632,766,1058,1422,2894,3882,2666,1884,170,6,1,2,1,0,4
81,진도향토문화회관,4687,,34.4795829,126.2695199,9653,9263,1854,1989,1556,2291,4077,5587,6589,5635,3764,277,2,2,6,1,1,10
82,진남문예회관,2508,,34.7457591,127.7272062,114109,117217,28865,38651,45273,46175,64676,78498,69858,40831,16274,1235,11,5,1,3,1,10
83,지리산소극장,541,,35.4074038,127.3810656,28031,26469,5669,8799,8194,8203,13738,19245,19094,12972,8735,795,12,3,3,3,1,10
84,증평문화회관,764,502,36.7856505,127.5699945,27862,28720,9809,9047,11331,15730,17719,18572,17707,8851,4548,215,5,3,1,1,2,7
85,중원청소년수련관,3151,,37.4263555,127.1468115,711103,683602,203921,246140,326257,414468,466142,462651,384336,178048,59543,2920,3,26,9,8,4,47
